Sun, 24 Sep 2017 12:22:47 INFO Get char: 0
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6185015879, id: 6185015879
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5635098920, id: 5635098920
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6369010282, id: 6369010282
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6365035974, id: 6365035974
Sun, 24 Sep 2017 12:22:52 INFO -- username: 懒惰的猫咪20609, id: 6293972718
Sun, 24 Sep 2017 12:22:52 INFO -- username: 御姐poin900, id: 5621225668
Sun, 24 Sep 2017 12:22:52 INFO -- username: 深海科技23501, id: 6070869523
Sun, 24 Sep 2017 12:22:52 INFO -- username: zoe小水仙2016, id: 6089779294
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户z9qso0029h, id: 3988656877
Sun, 24 Sep 2017 12:22:52 INFO -- username: 夜空中最亮的星0319, id: 2698845123
Sun, 24 Sep 2017 12:22:52 INFO -- username: 冰山一族_41902, id: 3986378775
Sun, 24 Sep 2017 12:22:52 INFO -- username: 他们叫我陈先生200, id: 6053314477
Sun, 24 Sep 2017 12:22:52 INFO -- username: 取个名字好麻烦100990, id: 5064913471
Sun, 24 Sep 2017 12:22:52 INFO -- username: 梦的眼泪77100, id: 5863917338
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6364500278, id: 6364500278
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6336300520, id: 6336300520
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5626103661, id: 5626103661
Sun, 24 Sep 2017 12:22:52 INFO -- username: 呢么6176101753, id: 6176101753
Sun, 24 Sep 2017 12:22:52 INFO -- username: 名牌女装男装箱包饰品折扣店, id: 6296308552
Sun, 24 Sep 2017 12:22:52 INFO -- username: 啊哈可爱多51020, id: 6251614483
Sun, 24 Sep 2017 12:22:52 INFO -- username: 王小凤2823062753, id: 2823062753
Sun, 24 Sep 2017 12:22:52 INFO -- username: XXXx16660, id: 5846524831
Sun, 24 Sep 2017 12:22:52 INFO -- username: m生如夏花6120, id: 5674010483
Sun, 24 Sep 2017 12:22:52 INFO -- username: Jinchun201709, id: 6370052755
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5869680022, id: 5869680022
Sun, 24 Sep 2017 12:22:52 INFO -- username: Hathaway00Tiny, id: 2170844530
Sun, 24 Sep 2017 12:22:52 INFO -- username: ccta_15740, id: 5353387082
Sun, 24 Sep 2017 12:22:52 INFO -- username: 双子座的苏苏1920, id: 6351975623
Sun, 24 Sep 2017 12:22:52 INFO -- username: 云端之上恋歌732016, id: 6371939569
Sun, 24 Sep 2017 12:22:52 INFO -- username: LuckyBaby佳琪6002, id: 2019797735
Sun, 24 Sep 2017 12:22:52 INFO -- username: Jennyren2010, id: 1567156651
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6366819043, id: 6366819043
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6352535004, id: 6352535004
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6189997014, id: 6189997014
Sun, 24 Sep 2017 12:22:52 INFO -- username: PossessYou0, id: 5683531308
Sun, 24 Sep 2017 12:22:52 INFO -- username: 萍果Apply_970, id: 2752059331
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6152111901, id: 6152111901
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5482455509, id: 5482455509
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6149238303, id: 6149238303
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6142759901, id: 6142759901
Sun, 24 Sep 2017 12:22:52 INFO -- username: 太阳3134254570, id: 3134254570
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户6373367310, id: 6373367310
Sun, 24 Sep 2017 12:22:52 INFO -- username: 用户5352878520, id: 5352878520
Sun, 24 Sep 2017 12:22:52 INFO -- username: 手机用户1868721610, id: 1868721610
Sun, 24 Sep 2017 12:22:52 INFO -- username: 手机用户1868721610, id: 1868721610
Sun, 24 Sep 2017 12:22:52 INFO Get char: 1
Sun, 24 Sep 2017 12:22:59 INFO -- username: 玲15105, id: 5865619542
Sun, 24 Sep 2017 12:22:59 INFO -- username: 兮12251002, id: 5309777967
Sun, 24 Sep 2017 12:22:59 INFO -- username: 2019咪, id: 2243329651
Sun, 24 Sep 2017 12:22:59 INFO -- username: 蔡军100, id: 1663608435
Sun, 24 Sep 2017 12:22:59 INFO -- username: 小1是小易, id: 2826933223
Sun, 24 Sep 2017 12:22:59 INFO -- username: 31号同学mmz, id: 5949669384
Sun, 24 Sep 2017 12:22:59 INFO -- username: z1hangj2iaw3, id: 3199619687
Sun, 24 Sep 2017 12:22:59 INFO -- username: 李明114, id: 5118918419
Sun, 24 Sep 2017 12:22:59 INFO -- username: L丹1219, id: 3853338600
Sun, 24 Sep 2017 12:22:59 INFO -- username: 静坐1993, id: 2519386124
Sun, 24 Sep 2017 12:22:59 INFO -- username: 泽悦1114, id: 5150101333
Sun, 24 Sep 2017 12:22:59 INFO -- username: 1472夏, id: 5933200004
Sun, 24 Sep 2017 12:22:59 INFO -- username: 1v先生, id: 2157003460
Sun, 24 Sep 2017 12:22:59 INFO -- username: 1nwonderland, id: 2010955235
Sun, 24 Sep 2017 12:22:59 INFO -- username: 11111111111H24, id: 5208177321
Sun, 24 Sep 2017 12:22:59 INFO -- username: 91iHWLG, id: 6021084319
Sun, 24 Sep 2017 12:22:59 INFO -- username: 琦31856, id: 5847638656
Sun, 24 Sep 2017 12:22:59 INFO -- username: 玉馨1116, id: 5717879850
Sun, 24 Sep 2017 12:22:59 INFO -- username: 汤214214, id: 6056345808
Sun, 24 Sep 2017 12:22:59 INFO -- username: 易昕1688, id: 5826329562
Sun, 24 Sep 2017 12:22:59 INFO -- username: 丫丫10019, id: 6372043336
Sun, 24 Sep 2017 12:22:59 INFO -- username: 2017蒲公英的种子, id: 5994455616
Sun, 24 Sep 2017 12:22:59 INFO -- username: 小样儿170, id: 6048247492
Sun, 24 Sep 2017 12:22:59 INFO -- username: 田志远1980, id: 6339073648
Sun, 24 Sep 2017 12:22:59 INFO -- username: 小麦色1023, id: 3551117167
Sun, 24 Sep 2017 12:22:59 INFO -- username: 太阳3134254570, id: 3134254570
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6185015879, id: 6185015879
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6189997014, id: 6189997014
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6100462854, id: 6100462854
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6152111901, id: 6152111901
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6149238303, id: 6149238303
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6142759901, id: 6142759901
Sun, 24 Sep 2017 12:22:59 INFO -- username: 乔克1874, id: 2338018395
Sun, 24 Sep 2017 12:22:59 INFO -- username: 惦记211, id: 3376881850
Sun, 24 Sep 2017 12:22:59 INFO -- username: 情话619, id: 5093984834
Sun, 24 Sep 2017 12:22:59 INFO -- username: 红儿218, id: 5252102689
Sun, 24 Sep 2017 12:22:59 INFO -- username: 淡44148, id: 5873674219
Sun, 24 Sep 2017 12:22:59 INFO -- username: DDR12138, id: 5445007742
